"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","07-Aug-2015","       1086.95","       1079.50","       1101.00","       1078.50","       1096.50","       1095.60","       1095.84","    2494029","      27330.64","      99571","    1729315","         69.34"
"INFY","EQ","10-Aug-2015","       1095.60","       1098.00","       1106.35","       1067.00","       1091.00","       1086.00","       1094.07","    1996377","      21841.70","      55130","    1297347","         64.99"
"INFY","EQ","11-Aug-2015","       1086.00","       1098.80","       1116.90","       1095.70","       1115.00","       1109.15","       1105.55","    3787203","      41869.48","     122276","    2697765","         71.23"
"INFY","EQ","12-Aug-2015","       1109.15","       1115.00","       1149.00","       1111.00","       1141.00","       1144.40","       1137.15","    5084220","      57815.12","     186856","    3807473","         74.89"
"INFY","EQ","13-Aug-2015","       1144.40","       1147.00","       1166.85","       1055.55","       1155.35","       1158.00","       1155.49","    4893980","      56549.28","     128074","    3469113","         70.89"
"INFY","EQ","14-Aug-2015","       1158.00","       1165.00","       1168.70","       1143.10","       1148.45","       1149.25","       1157.90","    2554533","      29578.93","      87830","    1592415","         62.34"
"INFY","EQ","17-Aug-2015","       1149.25","       1150.00","       1153.45","       1122.50","       1141.10","       1142.15","       1136.37","    1553718","      17655.91","      50967","     678282","         43.66"
"INFY","EQ","18-Aug-2015","       1142.15","       1150.00","       1177.70","       1150.00","       1162.50","       1164.35","       1167.25","    2075223","      24223.05","     103875","     918470","         44.26"
"INFY","EQ","19-Aug-2015","       1164.35","       1170.00","       1186.20","       1162.80","       1174.95","       1175.55","       1176.36","    3434759","      40405.13","      92901","    2353219","         68.51"
"INFY","EQ","20-Aug-2015","       1175.55","       1159.00","       1168.50","       1128.00","       1140.90","       1134.55","       1140.09","    4184557","      47707.61","     100655","    2703228","         64.60"
"INFY","EQ","21-Aug-2015","       1134.55","       1140.90","       1160.95","       1117.50","       1143.90","       1149.90","       1145.35","    5411071","      61975.61","     118867","    3331403","         61.57"
"INFY","EQ","24-Aug-2015","       1149.90","       1109.95","       1123.00","       1078.60","       1088.80","       1092.05","       1107.29","    7061342","      78189.46","     161508","    4761350","         67.43"
"INFY","EQ","25-Aug-2015","       1092.05","       1100.00","       1119.00","       1044.50","       1088.00","       1085.65","       1085.15","    6867539","      74523.14","     153510","    4834585","         70.40"
"INFY","EQ","26-Aug-2015","       1085.65","       1089.80","       1097.00","       1059.00","       1066.25","       1064.60","       1077.22","    5749106","      61930.33","     116990","    4076370","         70.90"
"INFY","EQ","27-Aug-2015","       1064.60","       1088.00","       1100.10","       1078.05","       1084.00","       1082.80","       1085.94","    7671696","      83309.72","     139887","    5605100","         73.06"
"INFY","EQ","28-Aug-2015","       1082.80","       1101.60","       1124.90","       1101.60","       1114.40","       1111.05","       1114.78","    3604410","      40181.20","      92660","    2090906","         58.01"
"INFY","EQ","31-Aug-2015","       1111.05","       1134.85","       1134.85","       1082.50","       1097.30","       1094.40","       1098.12","    4958532","      54450.48","     112811","    3332453","         67.21"
"INFY","EQ","01-Sep-2015","       1094.40","       1090.00","       1114.60","       1082.00","       1086.95","       1089.00","       1099.86","    4535775","      49887.09","     144963","    3052400","         67.30"
"INFY","EQ","02-Sep-2015","       1089.00","       1098.00","       1115.00","       1090.00","       1102.00","       1099.45","       1102.46","    5585915","      61582.68","     127845","    3245263","         58.10"
"INFY","EQ","03-Sep-2015","       1099.45","       1110.15","       1112.00","       1092.50","       1100.30","       1099.35","       1100.92","    4295268","      47287.64","      77626","    3197225","         74.44"
"INFY","EQ","04-Sep-2015","       1099.35","       1103.00","       1111.00","       1067.00","       1074.90","       1073.95","       1079.25","    3659444","      39494.57","     100163","    2171981","         59.35"
"INFY","EQ","07-Sep-2015","       1073.95","       1084.95","       1085.00","       1055.00","       1058.20","       1058.75","       1065.12","    2590494","      27591.94","      81606","    1495175","         57.72"
"INFY","EQ","08-Sep-2015","       1058.75","       1062.00","       1074.00","       1052.30","       1062.60","       1058.80","       1063.17","    2729748","      29021.79","      78414","    1742021","         63.82"
"INFY","EQ","09-Sep-2015","       1058.80","       1087.10","       1099.60","       1072.00","       1087.50","       1088.70","       1088.69","    4574332","      49800.41","     116781","    2880608","         62.97"
"INFY","EQ","10-Sep-2015","       1088.70","       1084.90","       1091.50","       1061.00","       1080.00","       1080.45","       1079.95","    4181502","      45158.22","     113306","    2688024","         64.28"
"INFY","EQ","11-Sep-2015","       1080.45","       1091.55","       1106.40","       1085.50","       1091.90","       1090.75","       1095.18","    4941905","      54122.66","     106420","    3503104","         70.89"
"INFY","EQ","14-Sep-2015","       1090.75","       1099.00","       1104.00","       1082.65","       1100.00","       1099.75","       1095.40","    3278538","      35913.11","      68749","    2338742","         71.33"
"INFY","EQ","15-Sep-2015","       1099.75","       1099.40","       1103.20","       1088.15","       1098.00","       1099.20","       1098.21","    2645943","      29058.04","      76986","    1691768","         63.94"
"INFY","EQ","16-Sep-2015","       1099.20","       1108.00","       1109.75","       1098.30","       1101.00","       1101.65","       1102.88","    3739120","      41237.98","      75566","    2778140","         74.30"
"INFY","EQ","18-Sep-2015","       1101.65","       1111.80","       1117.90","       1099.05","       1101.30","       1104.45","       1109.16","    5788438","      64203.02","      99715","    4400002","         76.01"
"INFY","EQ","21-Sep-2015","       1104.45","       1100.00","       1108.85","       1092.50","       1103.95","       1104.65","       1102.63","    2175617","      23988.99","      58851","    1416700","         65.12"
"INFY","EQ","22-Sep-2015","       1104.65","       1115.00","       1135.95","       1101.10","       1104.40","       1107.45","       1123.16","    4813493","      54063.16","     125741","    3149589","         65.43"
"INFY","EQ","23-Sep-2015","       1107.45","       1107.45","       1126.35","       1097.45","       1117.00","       1116.25","       1113.63","    2379127","      26494.68","      57336","    1230658","         51.73"
"INFY","EQ","24-Sep-2015","       1116.25","       1113.50","       1152.70","       1110.00","       1141.25","       1140.55","       1138.27","    6699631","      76260.05","     172169","    4696664","         70.10"
"INFY","EQ","28-Sep-2015","       1140.55","       1139.95","       1142.85","       1101.00","       1106.20","       1105.55","       1114.37","    4894232","      54539.75","     125955","    3334033","         68.12"
